"NUTS_ID","year","natura2000","area","pop","GDPcap","tour","unemp","propFV_TOT","ALP","ATL","BLK","BOR","CON","MED","PAN","STE","CF","EFT"
"AT11",2009,0.167745694529484,3961.8,77.2,20100,2529421,5,0.0378631680120356,0,0,0,0,100,0,0,0,3.95406249573304,455.834966846022
"AT11",2010,0.169823376256852,3961.8,77.4,21200,2581588,4,0.0378631680120356,0,0,0,0,100,0,0,0,3.95614017746041,449.38179230117
"AT11",2011,27.9786841824919,3961.8,77.7,22000,2607258,3.8,0.0378631680120356,0,0,0,0,100,0,0,0,31.7650009836955,3513.12032086428
"AT11",2012,27.927089700376,3962,78,23200,2617668,4.6,0.0378631680120356,0,0,0,0,100,0,0,0,31.7134065015796,3504.04773389198
"AT11",2013,27.9277642665727,3962,78.2,23300,2549486,4.3,0.0378631680120356,0,0,0,0,100,0,0,0,31.7140810677763,3495.92751606918
"AT12",2009,0.0309998137311783,19186.3,84.8,25000,5813863,4.7,0.0726827746123253,30,0,0,0,70,0,0,0,7.29927727496371,841.480330223298
"AT12",2010,0.033258109637167,19186.3,85,26000,5861712,3.9,0.0726827746123253,30,0,0,0,70,0,0,0,7.3015355708697,829.388493381061
"AT12",2011,31.6117570763061,19186.3,85.2,27100,6021715,4.5,0.0726827746123253,30,0,0,0,70,0,0,0,38.8800345375386,4300.02314433555
"AT12",2012,31.6121449567596,19186,85.5,27900,6085526,4.6,0.0726827746123253,30,0,0,0,70,0,0,0,38.8804224179921,4295.93888186508
"AT12",2013,31.6119634580798,19186,85.8,27900,5910564,5,0.0726827746123253,30,0,0,0,70,0,0,0,38.8802409193123,4285.87237860502
"AT13",2009,14.0178212222189,414.6,4253.9,40100,9833991,8.7,0.0289449112978525,0,0,0,0,100,0,0,0,16.9123123520042,1949.69688733667
"AT13",2010,12.9814783220808,414.6,4289.3,41500,10850917,8.3,0.0289449112978525,0,0,0,0,100,0,0,0,15.875969451866,1803.36673797489
